Case #,Account,General Issue,Specific Complaint,Open Date,Close Date,Zip,Borough,City,Council Dist.,Comm. Bd.
504549,NYCC15,Housing and Buildings,NYCHA Building Maintenance,1/23/2015,2/12/2015,10458,Bronx,Bronx,NYCC15,5
504555,NYCC15,Housing and Buildings,NYCHA New Application,1/23/2015,7/6/2015,10029,Manhattan,New York,NYCC08,11
504556,NYCC15,Housing and Buildings,NYCHA New Application,1/23/2015,2/9/2015,10458,Bronx,Bronx,NYCC15,5
504551,NYCC15,Housing and Buildings,Rental Arrears,1/23/2015,1/26/2015,10458,Bronx,Bronx,NYCC15,6
504553,NYCC15,Housing and Buildings,Rental Arrears,1/23/2015,1/26/2015,10457,Bronx,Bronx,NYCC15,6
504543,NYCC15,Parks,Private Use of Public Space,1/23/2015,3/19/2015,,,,,
504544,NYCC15,Sanitation,Snow Removal,1/23/2015,1/30/2015,,,unknown,NYCC,
504545,NYCC15,Transportation,Parking Signs,1/23/2015,4/24/2015,10458,Bronx,Bronx,NYCC15,6
504559,NYCC15,Youth Services,,1/24/2015,,10030,Manhattan,New York,NYCC09,10
504560,NYCC15,Education,,1/25/2015,,10457,Bronx,Bronx,NYCC15,6
504573,NYCC15,Consumer Affairs,,1/26/2015,,10458,Bronx,Bronx,NYCC15,7
504561,NYCC15,Environment,,1/26/2015,,10458,Bronx,Bronx,NYCC15,6
504563,NYCC15,Immigration,Legal Services for Immigrants,1/26/2015,1/26/2015,,,,,
504572,NYCC15,Immigration,Legal Services for Immigrants,1/26/2015,1/26/2015,,,,,
504562,NYCC15,Immigration,U.S. Citizenship,1/26/2015,1/26/2015,10468,Bronx,Bronx,NYCC14,7
504570,NYCC15,,,1/26/2015,5/21/2015,,,,,
504574,NYCC15,Aging,,1/28/2015,,14196,,Brazzaville,,
504576,NYCC15,Immigration,U.S. Citizenship,1/28/2015,2/2/2015,10467,Bronx,Bronx,NYCC11,7
504575,NYCC15,Sanitation,Snow Removal,1/28/2015,2/26/2015,10467,Bronx,Bronx,NYCC15,11
504577,NYCC15,Finance,Tax Preparation Assi,1/29/2015,1/29/2015,10454,Manhattan,Bronx,NYCC08,1
504579,NYCC15,Finance,Tax Preparation Assi,1/29/2015,1/29/2015,,,,,
504580,NYCC15,Immigration,Legal Services for Immigrants,1/29/2015,1/29/2015,,,,,
504578,NYCC15,Immigration,U.S. Citizenship,1/29/2015,1/29/2015,10460,Bronx,Bronx,NYCC17,6
504584,NYCC15,Finance,Tax Preparation Assi,1/30/2015,1/30/2015,10451,Manhattan,Bronx,NYCC08,1
504585,NYCC15,Finance,Tax Preparation Assi,1/30/2015,1/30/2015,,,,,
504586,NYCC15,Finance,Tax Preparation Assi,1/30/2015,1/30/2015,10458,Bronx,Bronx,NYCC15,7
504583,NYCC15,Housing and Buildings,NYCHA Building Maintenance,1/30/2015,1/30/2015,,,,,
504582,NYCC15,Housing and Buildings,Section 8,1/30/2015,1/30/2015,,,,,
504581,NYCC15,Housing and Buildings,,1/30/2015,,11418,Queens,Richmond Hill,NYCC29,9
504587,NYCC15,Finance,Tax Preparation Assi,1/31/2015,1/31/2015,,,,,
504588,NYCC15,Governmental Operations,,1/31/2015,,10460,Bronx,Bronx,NYCC15,6
504589,NYCC15,Immigration,Legal Services for Immigrants,2/2/2015,2/2/2015,,,,,
504590,NYCC15,Other,,2/2/2015,,10001,Manhattan,New York,NYCC03,5
504591,NYCC15,Transportation,Sidewalks,2/2/2015,2/2/2015,10462,Bronx,Bronx,NYCC15,11
504610,NYCC15,Education,Disciplinary Issue,2/3/2015,2/6/2015,10457,Bronx,Bronx,NYCC15,6
504611,NYCC15,Education,Higher Education: Tuition/Financial Aid,2/3/2015,2/5/2015,10467,Bronx,Bronx,NYCC15,11
504607,NYCC15,Education,,2/3/2015,,10018,Manhattan,New York,NYCC04,5
504593,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,,,,,
504594,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,10459,Bronx,Bronx,NYCC17,3
504595,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,10458,Bronx,Bronx,NYCC15,6
504596,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,10467,Bronx,Bronx,NYCC15,11
504597,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,10456,Bronx,Bronx,NYCC16,3
504598,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,10030,Manhattan,New York,NYCC09,10
504601,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,10457,Bronx,Bronx,NYCC15,6
504602,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,,,,,
504609,NYCC15,Finance,Tax Preparation Assi,2/3/2015,2/3/2015,,,,,
504608,NYCC15,General Welfare,,2/3/2015,2/5/2015,10460,Bronx,Bronx,NYCC15,11
504604,NYCC15,Housing and Buildings,Heat/Hot Water,2/3/2015,2/26/2015,,,,,
504606,NYCC15,Housing and Buildings,NYCHA New Application,2/3/2015,4/6/2015,10471,,Bronx,NYCC,
504592,NYCC15,Housing and Buildings,,2/3/2015,,10467,Bronx,Bronx,NYCC15,12
504599,NYCC15,Immigration,U.S. Citizenship,2/3/2015,2/9/2015,10458,Bronx,Bronx,NYCC15,6
504600,NYCC15,Immigration,U.S. Citizenship,2/3/2015,2/3/2015,10458,Bronx,Bronx,NYCC15,6
504603,NYCC15,Immigration,U.S. Citizenship,2/3/2015,2/3/2015,10457,Bronx,Bronx,NYCC15,5
504612,NYCC15,Youth Services,,2/3/2015,,10003,Manhattan,New York,NYCC02,3
504615,NYCC15,Education,,2/4/2015,2/4/2015,10462,Bronx,Bronx,NYCC13,11
504619,NYCC15,Finance,Tax Preparation Assi,2/4/2015,2/4/2015,,,,,
504614,NYCC15,Finance,,2/4/2015,,2400,,Strumica,,
504613,NYCC15,Housing and Buildings,Landlord/Managing Agent Issues,2/4/2015,2/4/2015,10473,Bronx,Bronx,NYCC18,9
504618,NYCC15,Housing and Buildings,Maintenance,2/4/2015,1/12/2016,,,,,
504616,NYCC15,Housing and Buildings,Mold,2/4/2015,1/12/2016,,,,,
504622,NYCC15,Finance,Tax Preparation Assi,2/5/2015,2/5/2015,10467,Bronx,Bronx,NYCC11,7
504623,NYCC15,Finance,Tax Preparation Assi,2/5/2015,2/5/2015,10467,Bronx,Bronx,NYCC12,12
504624,NYCC15,Finance,Tax Preparation Assi,2/5/2015,2/5/2015,10458,Bronx,Bronx,NYCC15,6
504625,NYCC15,Finance,Tax Preparation Assi,2/5/2015,2/5/2015,10458,Bronx,Bronx,NYCC15,6
504627,NYCC15,Finance,Tax Preparation Assi,2/5/2015,2/5/2015,10467,Bronx,Bronx,NYCC11,7
504621,NYCC15,Health,,2/5/2015,,10001,Manhattan,New York,NYCC02,5
504626,NYCC15,Housing and Buildings,Building Maintenance,2/5/2015,4/10/2015,10458,Bronx,Bronx,NYCC15,7
504628,NYCC15,Housing and Buildings,Building Maintenance,2/5/2015,8/19/2015,10458,Bronx,Bronx,NYCC15,6
504620,NYCC15,Housing and Buildings,,2/5/2015,,11221,Brooklyn,Brooklyn,NYCC37,4
504639,NYCC15,Education,Transfers,2/6/2015,2/6/2015,10457,Bronx,Bronx,NYCC15,5
504629,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10458,Bronx,Bronx,NYCC15,6
504635,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10455,Manhattan,Bronx,NYCC08,2
504636,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10453,Bronx,Bronx,NYCC14,5
504637,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/20/2015,10453,Bronx,Bronx,NYCC14,5
504642,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,,,,,
504643,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10458,Bronx,Bronx,NYCC15,6
504644,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10453,Bronx,Bronx,NYCC14,5
504645,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10553,,Mount Vernon,NYCC,
504646,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10458,,bronx,,
504647,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,,,,,
504655,NYCC15,Finance,Tax Preparation Assi,2/6/2015,2/6/2015,10458,Bronx,Bronx,NYCC15,6
504638,NYCC15,Health,,2/6/2015,,10468,Bronx,Bronx,NYCC14,7
504654,NYCC15,Housing and Buildings,,2/6/2015,2/6/2015,10472,Bronx,Bronx,NYCC18,9
504656,NYCC15,Immigration,Green Card,2/6/2015,2/6/2015,10458,Bronx,Bronx,NYCC15,6
504648,NYCC15,Immigration,U.S. Citizenship,2/6/2015,2/6/2015,,,,,
504649,NYCC15,Immigration,U.S. Citizenship,2/6/2015,2/6/2015,10457,Bronx,Bronx,NYCC15,5
504650,NYCC15,Immigration,U.S. Citizenship,2/6/2015,2/6/2015,10458,,,,
504651,NYCC15,Immigration,U.S. Citizenship,2/6/2015,2/6/2015,10458,,bronx,,
504652,NYCC15,Immigration,U.S. Citizenship,2/6/2015,2/6/2015,,,,,
504658,NYCC15,Immigration,U.S. Citizenship,2/6/2015,2/6/2015,10457,Bronx,Bronx,NYCC15,5
504657,NYCC15,Legal Services,Child Support,2/6/2015,2/6/2015,10457,Bronx,Bronx,NYCC15,5
504653,NYCC15,Legal Services,Misc (Wills/Court Docs/etc.),2/6/2015,2/6/2015,,,,,
504633,NYCC15,Transportation,Traffic Congestion,2/6/2015,3/16/2015,10467,Bronx,Bronx,NYCC15,11
504659,NYCC15,Finance,Tax Preparation Assi,2/7/2015,2/7/2015,,,,,
504660,NYCC15,Finance,Tax Preparation Assi,2/7/2015,2/7/2015,,,,,
504661,NYCC15,Finance,Tax Preparation Assi,2/7/2015,2/7/2015,,,,,
504671,NYCC15,Economy/Jobs,Seeking Employment,2/9/2015,2/9/2015,,,,,
504663,NYCC15,Finance,Tax Preparation Assi,2/9/2015,2/9/2015,10466,Bronx,Bronx,NYCC12,12
504664,NYCC15,Finance,Tax Preparation Assi,2/9/2015,2/9/2015,10466,Bronx,Bronx,NYCC12,12
504667,NYCC15,Finance,Tax Preparation Assi,2/9/2015,2/9/2015,10452,Bronx,Bronx,NYCC16,4
504668,NYCC15,Finance,Tax Preparation Assi,2/9/2015,2/9/2015,10458,Bronx,Bronx,NYCC11,7
504670,NYCC15,Finance,Tax Preparation Assi,2/9/2015,2/9/2015,,,,,
504669,NYCC15,General Welfare,Food Stamps,2/9/2015,2/9/2015,,,,,
504665,NYCC15,Housing and Buildings,Misc (Wills/Court Docs/etc.),2/9/2015,1/12/2016,10458,Bronx,Bronx,NYCC15,5
504662,NYCC15,Transportation,Traffic Enforcement,2/9/2015,2/26/2015,,,,,
504679,NYCC15,Aging,,2/10/2015,,10461,Bronx,Bronx,NYCC13,10
504680,NYCC15,Aging,,2/10/2015,,10461,Bronx,Bronx,NYCC13,10
504672,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/10/2015,10467,Bronx,Bronx,NYCC13,11
504673,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/10/2015,10467,Bronx,Bronx,NYCC11,7
504674,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/10/2015,10467,Bronx,Bronx,NYCC11,7
504675,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/10/2015,10458,Bronx,Bronx,NYCC15,6
504676,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/10/2015,10458,Bronx,Bronx,NYCC15,6
504689,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/11/2015,10460,Bronx,Bronx,NYCC17,3
504677,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/10/2015,10457,Bronx,Bronx,NYCC15,5
504678,NYCC15,Finance,Tax Preparation Assi,2/10/2015,2/10/2015,10458,Bronx,Bronx,NYCC15,6
504705,NYCC15,Education,Complaints about DOE Personnel,2/11/2015,1/12/2016,10552,,bronx,,
504681,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/11/2015,10458,Bronx,Bronx,NYCC15,7
504682,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/11/2015,10458,Bronx,Bronx,NYCC15,6
504683,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/11/2015,10468,Bronx,Bronx,NYCC14,7
504685,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/11/2015,10467,,bronx,,
504686,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/11/2015,10466,Bronx,Bronx,NYCC12,12
504687,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/11/2015,10458,Bronx,Bronx,NYCC15,6
504696,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/13/2015,10467,Bronx,Bronx,NYCC15,11
504704,NYCC15,Finance,Tax Preparation Assi,2/11/2015,2/11/2015,10458,Bronx,Bronx,NYCC15,7
504695,NYCC15,General Welfare,,2/11/2015,2/11/2015,,,Bronx,,
504690,NYCC15,Housing and Buildings,Landlord/Managing Agent Issues,2/11/2015,2/13/2015,10458,Bronx,Bronx,NYCC15,5
504703,NYCC15,Housing and Buildings,Landlord/Managing Agent Issues,2/11/2015,1/12/2016,10457,Bronx,Bronx,NYCC15,5
504691,NYCC15,Housing and Buildings,NYCHA New Application,2/11/2015,2/11/2015,10456,Bronx,Bronx,NYCC16,4
504692,NYCC15,Housing and Buildings,NYCHA New Application,2/11/2015,2/11/2015,,,Bronx,,
504698,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,2/11/2015,2/11/2015,10456,Bronx,Bronx,NYCC16,4
504702,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,2/11/2015,2/11/2015,10460,Bronx,Bronx,NYCC17,6
504697,NYCC15,Immigration,U.S. Citizenship,2/11/2015,2/11/2015,10458,Bronx,Bronx,NYCC15,6
504699,NYCC15,Immigration,U.S. Citizenship,2/11/2015,2/11/2015,10457,Bronx,Bronx,NYCC15,6
504701,NYCC15,Immigration,U.S. Citizenship,2/11/2015,2/11/2015,10467,Bronx,Bronx,NYCC11,7
504708,NYCC15,Immigration,U.S. Citizenship,2/11/2015,2/11/2015,10457,Bronx,Bronx,NYCC15,5
504688,NYCC15,Immigration,,2/11/2015,2/13/2015,,,Bronx,,
504706,NYCC15,Legal Services,Misc (Wills/Court Docs/etc.),2/11/2015,2/11/2015,10457,Bronx,Bronx,NYCC15,5
504693,NYCC15,Legal Services,,2/11/2015,2/11/2015,10457,Bronx,Bronx,NYCC15,6
504710,NYCC15,Finance,Tax Preparation Assi,2/12/2015,2/12/2015,,,,,
504711,NYCC15,Finance,Tax Preparation Assi,2/12/2015,2/12/2015,10457,Bronx,Bronx,NYCC15,6
504712,NYCC15,Finance,Tax Preparation Assi,2/12/2015,2/12/2015,,,,,
504715,NYCC15,Finance,Tax Preparation Assi,2/12/2015,2/12/2015,10466,Bronx,Bronx,NYCC12,12
504720,NYCC15,General Welfare,Child Support,2/12/2015,2/12/2015,10458,Bronx,Bronx,NYCC15,6
504721,NYCC15,General Welfare,Child Support,2/12/2015,2/12/2015,10457,Bronx,Bronx,NYCC15,5
504714,NYCC15,General Welfare,SSI and Social Security,2/12/2015,2/12/2015,10462,Bronx,Bronx,NYCC15,11
504713,NYCC15,Housing and Buildings,Heat/Hot Water,2/12/2015,2/12/2015,10458,Bronx,Bronx,NYCC15,7
504722,NYCC15,Housing and Buildings,Maintenance,2/12/2015,1/13/2016,10458,Bronx,Bronx,NYCC15,6
504709,NYCC15,Housing and Buildings,Mold,2/12/2015,2/26/2015,10467,Bronx,Bronx,NYCC15,11
504718,NYCC15,Housing and Buildings,NYCHA New Application,2/12/2015,2/26/2015,,,,,
504719,NYCC15,Housing and Buildings,NYCHA New Application,2/12/2015,2/12/2015,10457,Bronx,Bronx,NYCC15,5
504717,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,2/12/2015,2/12/2015,,,Bronx,NYCC,
504716,NYCC15,Immigration,U.S. Citizenship,2/12/2015,2/12/2015,10462,Bronx,Bronx,NYCC18,9
504739,NYCC15,Aging,,2/13/2015,,10461,Bronx,Bronx,NYCC13,10
504725,NYCC15,Education,Bullying,2/13/2015,1/12/2016,10457,Bronx,Bronx,NYCC15,5
504724,NYCC15,Finance,Tax Preparation Assi,2/13/2015,2/17/2015,10458,Bronx,Bronx,NYCC15,7
504726,NYCC15,Finance,Tax Preparation Assi,2/13/2015,6/7/2015,10467,Bronx,Bronx,NYCC11,7
504730,NYCC15,Finance,Tax Preparation Assi,2/13/2015,2/13/2015,10025,Manhattan,New York,NYCC06,7
504736,NYCC15,Finance,Tax Preparation Assi,2/13/2015,2/13/2015,10467,Bronx,Bronx,NYCC11,7
504737,NYCC15,Finance,Tax Preparation Assi,2/13/2015,2/13/2015,11102,Queens,Astoria,NYCC22,1
504735,NYCC15,General Welfare,Child Care,2/13/2015,2/19/2015,10458,Bronx,Bronx,NYCC15,6
504729,NYCC15,General Welfare,Job Placement/Training/Education,2/13/2015,6/7/2015,10458,Bronx,Bronx,NYCC15,7
504733,NYCC15,Housing and Buildings,NYCHA Building Maintenance,2/13/2015,1/4/2016,10467,Bronx,Bronx,NYCC13,11
504727,NYCC15,Housing and Buildings,NYCHA New Application,2/13/2015,1/12/2016,10458,Bronx,Bronx,NYCC15,6
504731,NYCC15,Housing and Buildings,NYCHA New Application,2/13/2015,2/13/2015,10458,,Bronx,NYCC,
504734,NYCC15,Housing and Buildings,NYCHA Transfers,2/13/2015,7/10/2015,10457,Bronx,Bronx,NYCC15,6
504738,NYCC15,Housing and Buildings,Seeking an affordable housing/apartment,2/13/2015,1/12/2016,10458,Bronx,Bronx,NYCC15,7
504732,NYCC15,Other,,2/13/2015,,10016,Manhattan,New York,NYCC04,5
504728,NYCC15,Youth Services,Runaway and Homeless Youth,2/13/2015,1/12/2016,10457,Bronx,Bronx,NYCC15,5
504723,NYCC15,,,2/13/2015,2/26/2015,10457,Bronx,Bronx,NYCC15,5
504741,NYCC15,General Welfare,,2/16/2015,,10467,Bronx,Bronx,NYCC15,11
504740,NYCC15,Other,,2/16/2015,,11790,,Stony Brook,NYCC,
504749,NYCC15,Finance,Budget Requests,2/17/2015,2/26/2015,10457,Bronx,Bronx,NYCC15,6
504742,NYCC15,Finance,Tax Preparation Assi,2/17/2015,2/17/2015,10474,Bronx,Bronx,NYCC17,2
504746,NYCC15,Finance,Tax Preparation Assi,2/17/2015,2/17/2015,10458,Bronx,Bronx,NYCC15,7
